ATCOCode,Easting,Northing,Lon,Lat,CommonName,Identifier,Direction,Street,Landmark,NatGazID,NatGazLocality,StopType,"Stop type, name",Icon colour
1290BOB20448,408976,91472,-1.87421,50.72279,Horseshoe Common,,N,Dean Park Crescent,,E0057149,Bournemouth,BCT,Bus/coach stop,small_red
1290BOB20449,409028,91446,-1.87348,50.72256,Horseshoe Common,,E,Old Christchurch Road,,E0057149,Bournemouth,BCT,Bus/coach stop,small_red
1290BOB20450,409228,91595,-1.87064,50.72389,Coppen Court,,NE,Madeira Road,,N0077769,Lansdowne (Bournemouth),BCT,Bus/coach stop,small_red
1290BOB20451,409233,91579,-1.87057,50.72375,Coppen Court,,SW,Madeira Road,,N0077769,Lansdowne (Bournemouth),BCT,Bus/coach stop,small_red
1290BOB20452,409233,91404,-1.87057,50.72218,Wootton Gardens,,E,Old Christchurch Road,,E0057149,Bournemouth,BCT,Bus/coach stop,small_red
1290BOB20453,409200,91384,-1.87104,50.722,Wootton Gardens,,W,Old Christchurch Road,,E0057149,Bournemouth,BCT,Bus/coach stop,small_red
1290BOB20487,408805,91494,-1.87663,50.72299,Marshall Point,,NE,Richmond Gardens,,E0057149,Bournemouth,BCT,Bus/coach stop,small_red
1290BOB20488,408840,91519,-1.87614,50.72322,Top of Dean Park Crescent,,SW,Dean Park Crescent,,E0057149,Bournemouth,BCT,Bus/coach stop,small_red
1290BOB20489,408734,91454,-1.87764,50.72263,Top of Richmond Hill,,NW,Richmond Hill,,E0057149,Bournemouth,BCT,Bus/coach stop,small_red
1290BOB20490,408693,91374,-1.87822,50.72191,Echo Office,,S,Richmond Hill,,E0057149,Bournemouth,BCT,Bus/coach stop,small_red
1290BOB20491,408549,91269,-1.88027,50.72097,Hampshire Court,,SE,Bourne Avenue,,E0057149,Bournemouth,BCT,Bus/coach stop,small_red
1290BOB20493,408488,91203,-1.88113,50.72038,Boots,,W,Commercial Road,,E0057149,Bournemouth,BCT,Bus/coach stop,small_red
1290BOB20494,408320,91279,-1.88351,50.72107,Marks and Spencer,,SW,Avenue Road,,E0057149,Bournemouth,BCT,Bus/coach stop,small_red
1290BOB20495,408018,91107,-1.88779,50.71952,Poole Hill,,W,Poole Hill,,N0073122,West Cliff (Bournemouth),BCT,Bus/coach stop,small_red
1290BOB20496,407799,91167,-1.89089,50.72007,St Michaels Roundabout,,N,Poole Road,,N0073122,West Cliff (Bournemouth),BCT,Bus/coach stop,small_red
1290BOB20497,407924,91172,-1.88912,50.72011,St Michaels Church,,E,Poole Road,,N0073122,West Cliff (Bournemouth),BCT,Bus/coach stop,small_red
1290BOB20498,408072,91135,-1.88703,50.71977,Poole Hill,,E,Poole Hill,,N0073122,West Cliff (Bournemouth),BCT,Bus/coach stop,small_red
1290BOB20499,408353,91301,-1.88304,50.72126,Marks and Spencers,Opp,E,Avenue Road,,E0057149,Bournemouth,BCT,Bus/coach stop,small_red
1290BOB20500,408543,91253,-1.88035,50.72083,Bourne Avenue,Stand EE,NW,Bourne Avenue,,E0057149,Bournemouth,BCT,Bus/coach stop,small_red
1290BOB20512,406975,91894,-1.90255,50.72661,Ipswich Road,,E,Surrey Road,,E0035400,Westbourne (Bournemouth),BCT,Bus/coach stop,small_red
1290BOB20513,406993,91862,-1.9023,50.72633,Ipswich Road,,NW,Surrey Road,,E0035400,Westbourne (Bournemouth),BCT,Bus/coach stop,small_red
1290BOB20514,407142,91756,-1.90019,50.72537,Surrey Road,O/s No 64,E,Prince of Wales Road,,E0035400,Westbourne (Bournemouth),BCT,Bus/coach stop,small_red
1290BOB20515,407179,91750,-1.89966,50.72532,Surrey Road,O/s No 37,E,Prince of Wales Road,,E0035400,Westbourne (Bournemouth),BCT,Bus/coach stop,small_red
1290BOB20516,407312,91696,-1.89778,50.72483,Surrey Gardens,O/s No 31,E,Surrey Road,,E0035400,Westbourne (Bournemouth),BCT,Bus/coach stop,small_red
1290BOB20517,407298,91689,-1.89798,50.72477,Surrey Gardens,O/s No 58,W,Surrey Road,,E0035400,Westbourne (Bournemouth),BCT,Bus/coach stop,small_red
1290BOB20518,407506,91621,-1.89503,50.72415,Surrey Road South,,E,Surrey Road,,E0035400,Westbourne (Bournemouth),BCT,Bus/coach stop,small_red
1290BOB20519,407492,91611,-1.89523,50.72406,Surrey Road South,,W,Surrey Road,,E0035400,Westbourne (Bournemouth),BCT,Bus/coach stop,small_red
1290BOB20520,407661,91611,-1.89284,50.72406,Queens Road,,E,Surrey Road,,E0035400,Westbourne (Bournemouth),BCT,Bus/coach stop,small_red
1290BOB20521,407641,91600,-1.89312,50.72396,Queens Road,,W,Surrey Road,,E0035400,Westbourne (Bournemouth),BCT,Bus/coach stop,small_red
1290BOB20522,407761,91224,-1.89143,50.72058,Queens Road,,E,Poole Road,,N0073122,West Cliff (Bournemouth),BCT,Bus/coach stop,small_red
1290BOB20523,407604,91264,-1.89365,50.72094,Westbourne Eye Hospital,,W,Queen's Road,,E0035400,Westbourne (Bournemouth),BCT,Bus/coach stop,small_red
