1290BOB20397,-1.87771,50.71965,Gervis Place
1290BOB20398,-1.878,50.71968,Gervis Place
1290BOB20400,-1.8786,50.71983,Gervis Place
1290BOB20401,-1.87875,50.71988,Gervis Place
1290BOB20402,-1.87898,50.71994,Gervis Place
1290BOB20403,-1.87921,50.71998,Gervis Place
1290BOB20404,-1.87708,50.71661,Bournemouth Pier
1290BOB20405,-1.87703,50.71651,Bournemouth Pier
1290BOB20406,-1.87733,50.71668,Bournemouth Pier
1290BOB20407,-1.87716,50.71682,Bournemouth Pier
1290BOB20408,-1.87382,50.71704,Royal Bath Hotel
1290BOB20409,-1.87103,50.71966,Top of Bath Hill
1290BOB20410,-1.87048,50.7196,Top of Bath Hill
1290BOB20411,-1.8679,50.72127,Lansdowne
1290BOB20412,-1.86778,50.72119,Lansdowne
1290BOB20413,-1.86519,50.72207,Lansdowne
1290BOB20414,-1.86518,50.72194,Lansdowne
1290BOB20415,-1.86206,50.72218,St Swithuns Roundabout
1290BOB20416,-1.86601,50.7225,Lansdowne
1290BOB20417,-1.86583,50.72242,Lansdowne
1290BOB20418,-1.86573,50.72251,Lansdowne
1290BOB20419,-1.86581,50.7227,Lansdowne
1290BOB20420,-1.86386,50.72459,Unisys
1290BOB20422,-1.86362,50.72452,Unisys
1290BOB20423,-1.86007,50.72252,St Swithuns Roundabout
1290BOB20424,-1.85614,50.72268,Derby Road
1290BOB20425,-1.85504,50.72291,Derby Road
1290BOB20426,-1.85275,50.72294,Lynton Court
1290BOB20427,-1.85246,50.72308,Lynton Court
1290BOB20428,-1.84881,50.72358,Boscombe Gardens
1290BOB20430,-1.8439,50.72549,Boscombe Crescent
1290BOB20431,-1.84145,50.72658,Palmerston Road
1290BOB20432,-1.84183,50.72588,Palmerston Road
1290BOB20433,-1.84414,50.7249,Boscombe Crescent
1290BOB20434,-1.84478,50.72509,Boscombe Crescent
1290BOB20435,-1.84857,50.72353,Boscombe Gardens
1290BOB20436,-1.85019,50.72039,Putting Green
1290BOB20437,-1.85042,50.72022,Putting Green
1290BOB20438,-1.85398,50.71966,Toft Steps
1290BOB20439,-1.85395,50.71976,Toft Steps
1290BOB20440,-1.85812,50.71912,Cottonwood Hotel
1290BOB20441,-1.85853,50.71921,Cottonwood Hotel
1290BOB20442,-1.86507,50.71837,East Cliff Lift
1290BOB20443,-1.86544,50.71823,East Cliff Lift
1290BOB20444,-1.87027,50.71758,Russell Cotes Museum
1290BOB20445,-1.87575,50.72063,St Peters Church
1290BOB20446,-1.87562,50.72114,Burlington Arcade
1290BOB20447,-1.87414,50.72167,The Zoo and Cage
1290BOB20448,-1.87421,50.72279,Horseshoe Common
1290BOB20449,-1.87348,50.72256,Horseshoe Common
1290BOB20450,-1.87064,50.72389,Coppen Court
1290BOB20451,-1.87057,50.72375,Coppen Court
1290BOB20452,-1.87057,50.72218,Wootton Gardens
1290BOB20453,-1.87104,50.722,Wootton Gardens
1290BOB20487,-1.87663,50.72299,Marshall Point
1290BOB20488,-1.87614,50.72322,Top of Dean Park Crescent
1290BOB20489,-1.87764,50.72263,Top of Richmond Hill
1290BOB20490,-1.87822,50.72191,Echo Office
1290BOB20491,-1.88027,50.72097,Hampshire Court
1290BOB20493,-1.88113,50.72038,Boots
1290BOB20494,-1.88351,50.72107,Marks and Spencer
1290BOB20495,-1.88779,50.71952,Poole Hill
1290BOB20496,-1.89089,50.72007,St Michaels Roundabout
1290BOB20497,-1.88912,50.72011,St Michaels Church
1290BOB20498,-1.88703,50.71977,Poole Hill
1290BOB20499,-1.88304,50.72126,Marks and Spencers
1290BOB20500,-1.88035,50.72083,Bourne Avenue
1290BOB20512,-1.90255,50.72661,Ipswich Road
1290BOB20513,-1.9023,50.72633,Ipswich Road
1290BOB20514,-1.90019,50.72537,Surrey Road
1290BOB20515,-1.89966,50.72532,Surrey Road
1290BOB20516,-1.89778,50.72483,Surrey Gardens
1290BOB20517,-1.89798,50.72477,Surrey Gardens
1290BOB20518,-1.89503,50.72415,Surrey Road South
1290BOB20519,-1.89523,50.72406,Surrey Road South
1290BOB20520,-1.89284,50.72406,Queens Road
1290BOB20521,-1.89312,50.72396,Queens Road
1290BOB20522,-1.89143,50.72058,Queens Road
1290BOB20523,-1.89365,50.72094,Westbourne Eye Hospital
1290BOB20524,-1.89384,50.7211,Queens Road (restricted Use)
1290BOB20525,-1.89668,50.72173,Netherhall Gardens
1290BOB20526,-1.89708,50.7217,Netherhall Gardens
1290BOB20527,-1.89927,50.72217,Grand Bingo
1290BOB20528,-1.90029,50.72252,Grand Bingo
1290BOB20529,-1.90147,50.72225,The Westbourne
1290BOB20530,-1.9031,50.722,Westbourne Post Office
1290BOB20531,-1.90392,50.72219,Westbourne Hogs Head
